position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	wM-u6ZlgYK0	2016-12-22T20:13:08.000Z	2016-12-22 21:13:08	5 reasons the Trump Administration will benefit nonprofit organizations!	Many nonprofit leaders are worried about how the Trump Administration will impact the nonprofit sector due to the conservative rhetoric he used during the campaign. This video message defines five reasons the Trump Administration will benefit nonprofit organizations. If you have any questions or comments, please visit www.EasyNonprofitClasses.com or call Susan Woods at 704-968-2769.	29	Nonprofits & Activism	PT16M59S	1019	2d	hd	false	1	2	0	0	0	0
2	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	j6wN6mtmDYg	2016-12-22T20:18:21.000Z	2016-12-22 21:18:21	ShadowBoxer 0040 {Trump & Clinton - Symtoms of Dis-Ease} -recorded before the election-	This video is about Trump & Clinton - Symptoms of Dis-Ease {video 0040} This video was mostly recorded in early October and early November 2016, before the 2016 election on November 8th, This video is about my observations and questions regarding the choice of Trump & Clinton. And how ridiculous our choices have been through the years.	24	Entertainment	PT18M22S	1102	2d	hd	false	1	2	0	0	0	0
3	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	ovRfwi_ArOE	2016-12-22T20:04:54.000Z	2016-12-22 21:04:54	Trump Is Lashing Out At The GOP’s “Rigged” Delegation Rules	Last week in Colorado, Donald Trump lost all 34 state delegates to Ted Cruz. Trump blames the loss on Colorado’s primary process, which involved the cancellation of presidential straw polls last August. Trump has 743 of the 1,237 delegates needed to win the nomination.	25	News & Politics	PT43S	43	2d	hd	false	1	1	0	0	0	0
4	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	01YIarK_2_E	2016-12-22T20:04:31.000Z	2016-12-22 21:04:31	Trump campaigning in 5 states on final day before election	John Roberts reports from Sarasota, Florida Please Subscribe & Share 🗽US political news🗽 Subscribe To Get Latest USA News Today , Full Coverage Around the clock 📊 24/7 . Thanks For Watching 🎥 ( We ❤ Fox )	25	News & Politics	PT2M40S	160	2d	sd	false	1	1	0	0	0	0
5	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	m4LlDk7OXuQ	2016-12-22T20:04:09.000Z	2016-12-22 21:04:09	Trump seizes on new WikiLeaks dump amid tight Florida polls.	Carl Cameron reports for 'Special Report'.	22	People & Blogs	PT3M	3	2d	sd	false	1	4	0	0	0	0
6	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	KRvuC0EX_Tw	2016-12-22T20:03:34.000Z	2016-12-22 21:03:34	Clinton and Trump spar over emails and fact checking		25	News & Politics	PT1M33S	93	2d	hd	false	1	0	0	0	0	0
7	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	7TRxXCFfXtw	2016-12-22T20:02:42.000Z	2016-12-22 21:02:42	A Tease: trump protests	This Tease is generated using T, one of the most advanced artificial intelligence technology platforms ever created. It includes relevant Thoughts such as: After all, it takes more than a gracious, reassuring victory speech for Trump to restore and harness regional trust in America and its commitment to the Asian strategic order. Moreover, Trump's abject lack of political experience, divisive and often offensive rhetoric, and neo-isolationist philosophy will test Washington's leadership in Asia like never before. This Tease is included in the playlist https://www.youtube.com/playlist?list=PLp4lky8fRjhGF2IUAvln3doRDvozg0t4z which you may wish to view next. There may be some fresher/older Tease for this topic and also some related topics. You can look for them by searching for "A Tease: trump protests" on YouTube or by clicking this link: https://www.youtube.com/results?search_query=%22A%20Tease%3A%20trump%20protests%22 To drink the full T for which this Tease serves like a preview, visit T at http://rftgyc.com and search for "trump protests". T works hard to serve as everyone's 24/7 companion working as their second mind supplementing their first mind, the biological one. Please support T's hard work on humanity's behalf by sharing this Tease widely, signing up for T immediately, and also subscribing to the TipTop Tech channel on YouTube. Are you ready to challenge the intelligence underlying T? Send by e-mail to T at help@rftgyc.com any topic of your interest or your need providing as much context as you can. After careful consideration, T will send back links to one or more Tease that best address the topic/need that you sent. This Tease was brewed with content from: http://www.aljazeera.com/indepth/opinion/2016/11/trump-victory-received-asia-161115130700840.html http://www.snopes.com/wordpress/wp-content/uploads/2016/11/trump-protests.jpg http://www.cincinnati.com/story/news/2016/11/19/anti-trump-group-plans-protest-fountain-square/94123922/ http://media.nbcphiladelphia.com/images/1200*675/Trump-Protests-Center-City.jpg http://uk.reuters.com/video/2016/11/19/anti-trump-protesters-join-hands-in-nort?videoId=370506579&videoChannel=2603&channelName=MOST+POPULAR http://media.nbcphiladelphia.com/images/1200*675/TRUMP+PROTEST+CENTER+CITY_21435152.jpg http://www.infowars.com/anti-trump-protesters-threaten-to-put-a-bullet-in-the-brain-of-michigan-elector/ http://plantnews.net/wp-content/uploads/2016/11/donald-trump-protests.jpg http://insider.foxnews.com/2016/11/19/objectified-donald-trump-richard-nixon-wrote-letter-president-elect-1987 http://www.worldnewstomorrow.com/wp-content/uploads/2016/11/Trump-protests-1068x685.jpg http://www.cnn.com/2016/11/18/living/trump-cup-starbucks/index.html https://www.thenation.com/wp-content/uploads/2016/07/Trump_RNC_protest.jpg http://www.newser.com/story/234268/trump-supporters-protest-starbucks-with-trumpcup.html http://media.nbcphiladelphia.com/images/1200*675/Center+City+Trump+Protest_21467781.jpg http://abcnews.go.com/US/wireStory/john-lewis-anti-trump-protesters-bitter-43647013 http://media.nbcnewyork.com/images/1200*900/11-10-16-ariel-trump-protest7.JPG http://www.usatoday.com/videos/news/nation/2016/11/19/94125408/ http://media.nbcphiladelphia.com/images/1200*675/Anti-Trump+Protests+in+Center+City.jpg The information contained in this Tease is for informational purposes only. No guarantee is provided that this information is complete and accurate. We do not endorse or assume any responsibility for any third-party sites, information, materials, products, or services that may have contributed to the creation of this Tease.	25	News & Politics	PT1M49S	109	2d	hd	false	1	2	0	0	0	0
8	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	71Qfa5wiD4Y	2016-12-22T20:03:55.000Z	2016-12-22 21:03:55	Will Trump children , get Top Security Clearance ? New Transition Team	News that Donald Trump wants his children to get top secret clearance ,his business interests http://edition.cnn.com/2016/11/14/politics/donald-trump-children-security-clearance/ and the conflict of interest with his companies are all discussed by the panel	25	News & Politics	PT5M30S	330	2d	hd	false	1	2	0	0	0	0
9	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	qx5-VSW0K3g	2016-12-22T20:01:34.000Z	2016-12-22 21:01:34	De Niro Absolutely Goes Off on Trump 'I'd Like to Punch Him in the Face'	Please Share and Donate and Help This Girl Get To College https://www.gofundme.com/2r3myqk donald trump jr donald trump bankruptcy donald trump wife how old is donald trump the donald donald trump show how much is donald trump worth donald trump entrepreneur clinton hillary rodham clinton clinton hillary hillary rodham bill and hillary clinton	25	News & Politics	PT4M16S	256	2d	sd	false	1	5	0	0	0	0
10	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	0pY511WsXjo	2016-12-22T20:02:28.000Z	2016-12-22 21:02:28	Clash of clans lets play episode 4	the audio cut out AFTER 6 SECONDS so I'm sorry. We just look at a defense of mine, review some bases and do a balloonion attack. Next episode will DEFINITELY have sound. Leave a like, comment and subscribe. Comment if you want a base review. freemyapps.com/share/url/04a3b949 Free gems	22	People & Blogs	PT5M18S	318	2d	hd	false	1	3	0	0	0	0
